status;duration;credit_history;purpose;amount;savings;employment_duration;installment_rate;personal_status_sex;other_debtors;present_residence;property;age;other_installment_plans;housing;number_credits;job;people_liable;telephone;foreign_worker;credit_risk
no checking account;12;critical account or other credits elsewhere;furniture or equipment;2149;unknown or no savings account;1 between 4 yrs; less than  20;male : divorced or separated;none; less than  1 yr;real estate;29;none;own;1;skilled employee or official;0 to 2;no;no;bad
more than 200 DM or salary for at least 1 year;24;no credits taken or all credits paid back duly;furniture or equipment;2397;between 100 and 500 DM; more than  7 yrs;20 between 25;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;35;bank;rent;3-Feb;skilled employee or official;0 to 2;yes;no;bad
less than 0 DM;6;critical account or other credits elsewhere;others;931;less than 100 DM; less than  1 yr; more than  35;female : non-single or male : single;none; less than  1 yr;car or other;32;stores;rent;1;unskilled - resident;0 to 2;no;no;bad
less than 0 DM;15;existing credits paid back duly till now;domestic appliances;1512;500 between 1000 DM;1 between 4 yrs;20 between 25;female : single;none;4 between 7 yrs;car or other;61;stores;rent;3-Feb;skilled employee or official;0 to 2;no;no;bad
less than 0 DM;24;delay in paying off in the past;retraining;4241;unknown or no savings account;1 between 4 yrs; more than  35;male : married or widowed;none; more than  7 yrs;unknown  or  no property;36;none;rent;5-Apr;unskilled - resident;0 to 2;yes;no;bad
less than 0 DM;24;all credits at this bank paid back duly;car (used);4736;unknown or no savings account; less than  1 yr;25 between 35;female : non-single or male : single;none; more than  7 yrs;building soc. savings agr. or life insurance;25;bank;rent;1;unskilled - resident;0 to 2;no;no;bad
less than 0 DM;15;delay in paying off in the past;others;1778;unknown or no savings account; less than  1 yr;25 between 35;female : non-single or male : single;none; less than  1 yr;unknown  or  no property;26;none;for free;3-Feb;unemployed or unskilled - non-resident;0 to 2;no;no;bad
between 0 and 200 DM;15;no credits taken or all credits paid back duly;furniture or equipment;2327;unknown or no savings account; less than  1 yr;25 between 35;female : non-single or male : single;none;4 between 7 yrs;unknown  or  no property;25;none;rent;1;unskilled - resident;0 to 2;no;no;bad
no checking account;24;critical account or other credits elsewhere;car (used);6872;unknown or no savings account; less than  1 yr;25 between 35;male : divorced or separated;none; less than  1 yr;car or other;55;bank;rent;1;skilled employee or official;0 to 2;yes;no;bad
no checking account;12;no credits taken or all credits paid back duly;repairs;795;unknown or no savings account; less than  1 yr; less than  20;female : non-single or male : single;none; more than  7 yrs;car or other;53;none;rent;1;skilled employee or official;0 to 2;no;no;bad
between 0 and 200 DM;30;existing credits paid back duly till now;retraining;1908;unknown or no savings account; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;unknown  or  no property;66;none;rent;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;bad
less than 0 DM;36;delay in paying off in the past;retraining;1953;unknown or no savings account; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;real estate;61;none;own;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;bad
between 0 and 200 DM;18;no credits taken or all credits paid back duly;car (used);2864;unknown or no savings account;1 between 4 yrs;25 between 35;male : married or widowed;none; less than  1 yr;unknown  or  no property;34;none;rent;1;unskilled - resident;3 or more;no;no;bad
between 0 and 200 DM;21;all credits at this bank paid back duly;repairs;2319;unknown or no savings account; less than  1 yr;25 between 35;male : divorced or separated;none; less than  1 yr;building soc. savings agr. or life insurance;33;none;for free;1;skilled employee or official;0 to 2;no;no;bad
no checking account;24;no credits taken or all credits paid back duly;others;915;more than 1000 DM; more than  7 yrs; less than  20;female : non-single or male : single;none;1 between 4 yrs;building soc. savings agr. or life insurance;29;bank;rent;1;skilled employee or official;0 to 2;no;no;bad
between 0 and 200 DM;24;no credits taken or all credits paid back duly;others;947;unknown or no savings account;4 between 7 yrs; less than  20;male : married or widowed;none;4 between 7 yrs;real estate;38;bank;own;1;skilled employee or official;3 or more;no;no;bad
no checking account;24;no credits taken or all credits paid back duly;others;1381;more than 1000 DM;1 between 4 yrs; less than  20;female : non-single or male : single;none;1 between 4 yrs;car or other;35;none;rent;1;skilled employee or official;0 to 2;no;no;bad
no checking account;24;no credits taken or all credits paid back duly;others;1285;more than 1000 DM;4 between 7 yrs; less than  20;female : non-single or male : single;none; more than  7 yrs;real estate;32;none;for free;1;skilled employee or official;0 to 2;no;no;bad
no checking account;24;no credits taken or all credits paid back duly;others;1371;more than 1000 DM;1 between 4 yrs; less than  20;female : non-single or male : single;none; more than  7 yrs;unknown  or  no property;25;none;for free;1;skilled employee or official;0 to 2;no;no;bad
less than 0 DM;18;no credits taken or all credits paid back duly;others;1042;more than 1000 DM;1 between 4 yrs; less than  20;female : non-single or male : single;none;1 between 4 yrs;car or other;33;none;rent;1;skilled employee or official;0 to 2;no;no;bad
no checking account;12;no credits taken or all credits paid back duly;others;900;more than 1000 DM;1 between 4 yrs; less than  20;female : single;none;1 between 4 yrs;building soc. savings agr. or life insurance;23;none;rent;1;skilled employee or official;0 to 2;no;no;bad
no checking account;24;no credits taken or all credits paid back duly;others;1207;unknown or no savings account; less than  1 yr; less than  20;female : non-single or male : single;none; more than  7 yrs;car or other;24;none;for free;1;skilled employee or official;0 to 2;no;no;bad
less than 0 DM;18;delay in paying off in the past;others;2278;less than 100 DM; less than  1 yr;20 between 25;female : non-single or male : single;none;4 between 7 yrs;building soc. savings agr. or life insurance;28;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;bad
no checking account;60;existing credits paid back duly till now;retraining;6836;unknown or no savings account; more than  7 yrs;20 between 25;male : married or widowed;none; more than  7 yrs;real estate;63;none;rent;3-Feb;skilled employee or official;0 to 2;yes;no;bad
no checking account;24;no credits taken or all credits paid back duly;car (used);3345;unknown or no savings account; more than  7 yrs; less than  20;male : married or widowed;none;1 between 4 yrs;car or other;39;none;for free;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;bad
no checking account;6;critical account or other credits elsewhere;repairs;1198;unknown or no savings account; more than  7 yrs; less than  20;female : non-single or male : single;none; more than  7 yrs;real estate;35;none;own;1;skilled employee or official;0 to 2;no;no;bad
less than 0 DM;48;no credits taken or all credits paid back duly;retraining;15672;unknown or no savings account;1 between 4 yrs;25 between 35;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;23;none;rent;1;skilled employee or official;0 to 2;yes;no;bad
no checking account;60;no credits taken or all credits paid back duly;retraining;7297;unknown or no savings account; more than  7 yrs; less than  20;male : married or widowed;co-applicant; more than  7 yrs;real estate;36;none;for free;1;skilled employee or official;0 to 2;no;no;bad
more than 200 DM or salary for at least 1 year;18;no credits taken or all credits paid back duly;domestic appliances;1943;unknown or no savings account; less than  1 yr; less than  20;female : non-single or male : single;none; more than  7 yrs;unknown  or  no property;23;none;rent;1;skilled employee or official;0 to 2;no;no;bad
no checking account;18;no credits taken or all credits paid back duly;furniture or equipment;3190;unknown or no savings account;1 between 4 yrs;25 between 35;female : non-single or male : single;none;1 between 4 yrs;unknown  or  no property;24;none;rent;1;skilled employee or official;0 to 2;no;no;bad
less than 0 DM;9;critical account or other credits elsewhere;car (new);5129;unknown or no savings account; more than  7 yrs;25 between 35;female : non-single or male : single;none; more than  7 yrs;real estate;74;bank;own;1;manager or self-empl. or highly qualif. employee;3 or more;yes;no;bad
more than 200 DM or salary for at least 1 year;18;existing credits paid back duly till now;car (used);1808;unknown or no savings account;4 between 7 yrs; less than  20;female : non-single or male : single;none; less than  1 yr;unknown  or  no property;22;none;rent;1;skilled employee or official;0 to 2;no;no;bad
between 0 and 200 DM;10;no credits taken or all credits paid back duly;others;1240;less than 100 DM; more than  7 yrs; more than  35;female : non-single or male : single;none; more than  7 yrs;real estate;48;none;own;1;unskilled - resident;3 or more;no;no;bad
no checking account;12;no credits taken or all credits paid back duly;others;759;unknown or no savings account;4 between 7 yrs; less than  20;male : married or widowed;none;1 between 4 yrs;unknown  or  no property;26;none;rent;1;skilled employee or official;0 to 2;no;no;bad
less than 0 DM;8;no credits taken or all credits paid back duly;car (used);1237;unknown or no savings account;1 between 4 yrs;20 between 25;female : non-single or male : single;none; more than  7 yrs;unknown  or  no property;24;none;rent;1;skilled employee or official;0 to 2;no;no;bad
more than 200 DM or salary for at least 1 year;9;no credits taken or all credits paid back duly;car (used);1980;unknown or no savings account; less than  1 yr;25 between 35;female : non-single or male : single;co-applicant;1 between 4 yrs;building soc. savings agr. or life insurance;19;none;for free;3-Feb;skilled employee or official;0 to 2;no;no;bad
less than 0 DM;48;no credits taken or all credits paid back duly;furniture or equipment;10961;500 between 1000 DM;4 between 7 yrs; more than  35;male : married or widowed;co-applicant;1 between 4 yrs;real estate;27;bank;rent;3-Feb;skilled employee or official;0 to 2;yes;no;bad
no checking account;36;existing credits paid back duly till now;repairs;6887;unknown or no savings account;1 between 4 yrs; less than  20;male : married or widowed;none;4 between 7 yrs;car or other;29;stores;rent;1;skilled employee or official;0 to 2;yes;no;bad
no checking account;24;no credits taken or all credits paid back duly;furniture or equipment;1938;unknown or no savings account; less than  1 yr; less than  20;male : divorced or separated;none;4 between 7 yrs;car or other;32;none;rent;1;skilled employee or official;0 to 2;no;no;bad
no checking account;21;no credits taken or all credits paid back duly;furniture or equipment;1835;unknown or no savings account;1 between 4 yrs;20 between 25;female : non-single or male : single;none;1 between 4 yrs;unknown  or  no property;25;none;rent;3-Feb;skilled employee or official;0 to 2;yes;no;bad
no checking account;24;existing credits paid back duly till now;furniture or equipment;1659;unknown or no savings account; less than  1 yr; less than  20;female : non-single or male : single;none;1 between 4 yrs;building soc. savings agr. or life insurance;29;none;for free;1;unskilled - resident;0 to 2;yes;no;bad
less than 0 DM;6;existing credits paid back duly till now;others;1209;unknown or no savings account;unemployed; less than  20;male : married or widowed;none; more than  7 yrs;car or other;47;none;rent;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;bad
less than 0 DM;48;delay in paying off in the past;retraining;3844;less than 100 DM;4 between 7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;real estate;34;none;own;1;unskilled - resident;3 or more;no;no;bad
no checking account;12;all credits at this bank paid back duly;others;4843;unknown or no savings account; more than  7 yrs;20 between 25;male : married or widowed;co-applicant; more than  7 yrs;car or other;43;none;for free;3-Feb;skilled employee or official;0 to 2;yes;no;bad
less than 0 DM;12;no credits taken or all credits paid back duly;domestic appliances;639;unknown or no savings account;1 between 4 yrs; less than  20;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;30;none;rent;1;skilled employee or official;0 to 2;no;no;bad
less than 0 DM;48;no credits taken or all credits paid back duly;furniture or equipment;5951;unknown or no savings account;1 between 4 yrs;25 between 35;female : non-single or male : single;none;1 between 4 yrs;unknown  or  no property;22;none;rent;1;skilled employee or official;0 to 2;no;no;bad
less than 0 DM;36;delay in paying off in the past;furniture or equipment;3804;unknown or no savings account;1 between 4 yrs; less than  20;female : non-single or male : single;none; less than  1 yr;building soc. savings agr. or life insurance;42;none;rent;1;skilled employee or official;0 to 2;yes;no;bad
more than 200 DM or salary for at least 1 year;36;existing credits paid back duly till now;furniture or equipment;4463;unknown or no savings account;1 between 4 yrs; less than  20;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;26;none;rent;3-Feb;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;bad
more than 200 DM or salary for at least 1 year;36;existing credits paid back duly till now;retraining;7980;more than 1000 DM; less than  1 yr; less than  20;male : married or widowed;none; more than  7 yrs;building soc. savings agr. or life insurance;27;none;for free;3-Feb;skilled employee or official;0 to 2;yes;no;bad
between 0 and 200 DM;36;no credits taken or all credits paid back duly;furniture or equipment;4210;unknown or no savings account;1 between 4 yrs; less than  20;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;26;none;rent;1;skilled employee or official;0 to 2;no;no;bad
more than 200 DM or salary for at least 1 year;6;no credits taken or all credits paid back duly;car (used);4611;unknown or no savings account; less than  1 yr; more than  35;female : non-single or male : single;none; more than  7 yrs;car or other;32;none;rent;1;skilled employee or official;0 to 2;no;no;bad
less than 0 DM;24;no credits taken or all credits paid back duly;car (new);11560;unknown or no savings account;1 between 4 yrs; more than  35;female : non-single or male : single;none; more than  7 yrs;building soc. savings agr. or life insurance;23;none;for free;3-Feb;manager or self-empl. or highly qualif. employee;0 to 2;no;no;bad
more than 200 DM or salary for at least 1 year;18;delay in paying off in the past;retraining;4165;unknown or no savings account;1 between 4 yrs;25 between 35;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;36;stores;rent;3-Feb;skilled employee or official;3 or more;no;no;bad
less than 0 DM;24;no credits taken or all credits paid back duly;car (used);4057;unknown or no savings account;4 between 7 yrs;20 between 25;male : divorced or separated;none;4 between 7 yrs;building soc. savings agr. or life insurance;43;none;rent;1;skilled employee or official;0 to 2;yes;no;bad
more than 200 DM or salary for at least 1 year;18;critical account or other credits elsewhere;others;6458;unknown or no savings account; more than  7 yrs;25 between 35;male : married or widowed;none; more than  7 yrs;real estate;39;bank;rent;3-Feb;manager or self-empl. or highly qualif. employee;3 or more;yes;no;bad
more than 200 DM or salary for at least 1 year;12;no credits taken or all credits paid back duly;others;1386;between 100 and 500 DM;1 between 4 yrs;25 between 35;female : non-single or male : single;none;1 between 4 yrs;car or other;26;none;rent;1;skilled employee or official;0 to 2;no;no;bad
no checking account;36;no credits taken or all credits paid back duly;repairs;1977;more than 1000 DM; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;real estate;40;none;rent;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;bad
less than 0 DM;18;all credits at this bank paid back duly;car (used);1928;unknown or no savings account; less than  1 yr;25 between 35;male : married or widowed;none;1 between 4 yrs;unknown  or  no property;31;none;rent;3-Feb;unskilled - resident;0 to 2;no;no;bad
more than 200 DM or salary for at least 1 year;12;no credits taken or all credits paid back duly;car (used);1123;between 100 and 500 DM;1 between 4 yrs; less than  20;female : non-single or male : single;none; more than  7 yrs;building soc. savings agr. or life insurance;29;none;for free;1;unskilled - resident;0 to 2;no;no;bad
less than 0 DM;24;no credits taken or all credits paid back duly;business;11328;unknown or no savings account;1 between 4 yrs;25 between 35;male : married or widowed;co-applicant;4 between 7 yrs;building soc. savings agr. or life insurance;29;bank;rent;3-Feb;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;bad
less than 0 DM;24;all credits at this bank paid back duly;business;11938;unknown or no savings account;1 between 4 yrs;25 between 35;male : married or widowed;co-applicant;4 between 7 yrs;building soc. savings agr. or life insurance;39;none;rent;3-Feb;manager or self-empl. or highly qualif. employee;3 or more;yes;no;bad
less than 0 DM;27;all credits at this bank paid back duly;furniture or equipment;2520;between 100 and 500 DM;1 between 4 yrs; less than  20;male : married or widowed;none;1 between 4 yrs;car or other;23;none;rent;3-Feb;unskilled - resident;0 to 2;no;no;bad
less than 0 DM;30;existing credits paid back duly till now;furniture or equipment;1919;less than 100 DM; less than  1 yr; less than  20;male : married or widowed;none;4 between 7 yrs;real estate;30;stores;rent;3-Feb;manager or self-empl. or highly qualif. employee;0 to 2;no;no;bad
less than 0 DM;60;critical account or other credits elsewhere;business;14782;less than 100 DM; more than  7 yrs;20 between 25;female : non-single or male : single;none; more than  7 yrs;real estate;60;bank;own;3-Feb;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;bad
less than 0 DM;36;no credits taken or all credits paid back duly;furniture or equipment;2671;less than 100 DM;1 between 4 yrs; less than  20;female : non-single or male : single;co-applicant; more than  7 yrs;real estate;50;none;own;1;skilled employee or official;0 to 2;no;no;bad
less than 0 DM;36;no credits taken or all credits paid back duly;repairs;12612;less than 100 DM;1 between 4 yrs; more than  35;male : married or widowed;none; more than  7 yrs;real estate;47;none;own;1;skilled employee or official;3 or more;yes;no;bad
less than 0 DM;45;no credits taken or all credits paid back duly;furniture or equipment;3031;less than 100 DM;1 between 4 yrs; less than  20;male : married or widowed;guarantor; more than  7 yrs;car or other;21;none;for free;1;skilled employee or official;0 to 2;no;no;bad
no checking account;12;critical account or other credits elsewhere;furniture or equipment;626;unknown or no savings account;1 between 4 yrs; less than  20;female : non-single or male : single;none; more than  7 yrs;unknown  or  no property;24;bank;rent;1;unskilled - resident;0 to 2;no;no;bad
less than 0 DM;24;all credits at this bank paid back duly;retraining;1935;unknown or no savings account; more than  7 yrs; less than  20;male : divorced or separated;none; more than  7 yrs;unknown  or  no property;31;none;rent;3-Feb;skilled employee or official;0 to 2;yes;no;bad
between 0 and 200 DM;24;all credits at this bank paid back duly;others;1344;more than 1000 DM;4 between 7 yrs; less than  20;male : married or widowed;none;1 between 4 yrs;unknown  or  no property;37;bank;rent;3-Feb;unskilled - resident;3 or more;no;no;bad
more than 200 DM or salary for at least 1 year;18;no credits taken or all credits paid back duly;car (used);1533;unknown or no savings account; less than  1 yr; less than  20;female : single;co-applicant; less than  1 yr;car or other;43;none;rent;1;unskilled - resident;3 or more;no;no;bad
no checking account;48;no credits taken or all credits paid back duly;others;3931;unknown or no savings account;4 between 7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;real estate;46;none;own;1;skilled employee or official;3 or more;no;no;bad
no checking account;24;critical account or other credits elsewhere;car (used);3349;between 100 and 500 DM; less than  1 yr; less than  20;male : married or widowed;none; more than  7 yrs;real estate;30;none;own;1;skilled employee or official;3 or more;yes;no;bad
no checking account;36;no credits taken or all credits paid back duly;furniture or equipment;2302;unknown or no savings account;1 between 4 yrs; less than  20;male : divorced or separated;none; more than  7 yrs;building soc. savings agr. or life insurance;31;none;for free;1;skilled employee or official;0 to 2;no;no;bad
no checking account;42;no credits taken or all credits paid back duly;furniture or equipment;3965;unknown or no savings account; less than  1 yr; less than  20;male : married or widowed;none;4 between 7 yrs;building soc. savings agr. or life insurance;34;none;rent;1;skilled employee or official;0 to 2;no;no;bad
no checking account;12;no credits taken or all credits paid back duly;furniture or equipment;727;less than 100 DM; less than  1 yr; less than  20;female : single;none;4 between 7 yrs;real estate;33;none;rent;1;unskilled - resident;0 to 2;yes;no;bad
more than 200 DM or salary for at least 1 year;48;no credits taken or all credits paid back duly;retraining;3914;more than 1000 DM;1 between 4 yrs; less than  20;male : divorced or separated;none;1 between 4 yrs;unknown  or  no property;38;bank;rent;1;skilled employee or official;0 to 2;no;no;bad
no checking account;48;no credits taken or all credits paid back duly;retraining;4308;unknown or no savings account; less than  1 yr;20 between 25;female : non-single or male : single;none; more than  7 yrs;car or other;24;none;for free;1;skilled employee or official;0 to 2;no;no;bad
less than 0 DM;12;no credits taken or all credits paid back duly;furniture or equipment;1534;unknown or no savings account; less than  1 yr; more than  35;female : single;none; less than  1 yr;unknown  or  no property;23;none;for free;1;skilled employee or official;0 to 2;no;no;bad
more than 200 DM or salary for at least 1 year;18;all credits at this bank paid back duly;others;2775;unknown or no savings account;4 between 7 yrs;25 between 35;male : married or widowed;none;1 between 4 yrs;car or other;31;bank;rent;3-Feb;skilled employee or official;0 to 2;no;no;bad
no checking account;40;all credits at this bank paid back duly;repairs;5998;unknown or no savings account;1 between 4 yrs; less than  20;male : married or widowed;none;4 between 7 yrs;real estate;27;bank;rent;1;skilled employee or official;0 to 2;yes;no;bad
between 0 and 200 DM;15;all credits at this bank paid back duly;furniture or equipment;1271;more than 1000 DM;1 between 4 yrs;20 between 25;male : married or widowed;none; more than  7 yrs;real estate;39;none;own;3-Feb;skilled employee or official;0 to 2;yes;no;bad
less than 0 DM;12;no credits taken or all credits paid back duly;others;1295;unknown or no savings account; less than  1 yr;20 between 25;female : non-single or male : single;none; less than  1 yr;building soc. savings agr. or life insurance;25;none;for free;1;skilled employee or official;0 to 2;no;no;bad
less than 0 DM;36;no credits taken or all credits paid back duly;car (new);9398;unknown or no savings account; less than  1 yr; more than  35;female : single;none; more than  7 yrs;building soc. savings agr. or life insurance;28;none;for free;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;bad
less than 0 DM;12;no credits taken or all credits paid back duly;car (used);951;less than 100 DM; less than  1 yr; less than  20;female : non-single or male : single;none; more than  7 yrs;building soc. savings agr. or life insurance;27;bank;for free; more than  6;skilled employee or official;0 to 2;no;no;bad
less than 0 DM;24;no credits taken or all credits paid back duly;others;1355;unknown or no savings account; less than  1 yr;20 between 25;female : non-single or male : single;none; more than  7 yrs;building soc. savings agr. or life insurance;25;none;rent;1;unskilled - resident;0 to 2;yes;no;bad
no checking account;48;no credits taken or all credits paid back duly;radio or television;3051;unknown or no savings account;1 between 4 yrs;20 between 25;male : married or widowed;none; more than  7 yrs;building soc. savings agr. or life insurance;54;none;rent;1;skilled employee or official;0 to 2;no;no;bad
more than 200 DM or salary for at least 1 year;36;all credits at this bank paid back duly;others;7855;unknown or no savings account;1 between 4 yrs; less than  20;female : non-single or male : single;none;1 between 4 yrs;unknown  or  no property;25;stores;rent;3-Feb;skilled employee or official;0 to 2;yes;no;bad
more than 200 DM or salary for at least 1 year;18;no credits taken or all credits paid back duly;furniture or equipment;433;unknown or no savings account;unemployed;20 between 25;female : non-single or male : single;co-applicant; more than  7 yrs;unknown  or  no property;22;none;for free;1;skilled employee or official;0 to 2;no;no;bad
more than 200 DM or salary for at least 1 year;36;existing credits paid back duly till now;retraining;9572;unknown or no savings account; less than  1 yr; more than  35;male : divorced or separated;none; less than  1 yr;building soc. savings agr. or life insurance;28;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;bad
less than 0 DM;24;critical account or other credits elsewhere;repairs;1837;unknown or no savings account;4 between 7 yrs; less than  20;female : non-single or male : single;none; more than  7 yrs;real estate;34;bank;own;1;unskilled - resident;0 to 2;no;no;bad
less than 0 DM;30;all credits at this bank paid back duly;others;4249;unknown or no savings account;unemployed; less than  20;female : single;none;1 between 4 yrs;building soc. savings agr. or life insurance;28;none;rent;3-Feb;manager or self-empl. or highly qualif. employee;0 to 2;no;no;bad
less than 0 DM;30;all credits at this bank paid back duly;others;5234;unknown or no savings account;unemployed; less than  20;female : single;none;1 between 4 yrs;building soc. savings agr. or life insurance;28;none;rent;3-Feb;manager or self-empl. or highly qualif. employee;0 to 2;no;no;bad
no checking account;48;no credits taken or all credits paid back duly;furniture or equipment;6758;unknown or no savings account;1 between 4 yrs;20 between 25;female : non-single or male : single;none;1 between 4 yrs;building soc. savings agr. or life insurance;31;none;rent;1;skilled employee or official;0 to 2;yes;no;bad
no checking account;9;no credits taken or all credits paid back duly;furniture or equipment;1366;unknown or no savings account; less than  1 yr;20 between 25;female : non-single or male : single;none; more than  7 yrs;car or other;22;none;for free;1;skilled employee or official;0 to 2;no;no;bad
no checking account;24;critical account or other credits elsewhere;business;1358;more than 1000 DM; more than  7 yrs; less than  20;male : married or widowed;none;4 between 7 yrs;building soc. savings agr. or life insurance;40;stores;rent;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;bad
no checking account;18;no credits taken or all credits paid back duly;car (used);2473;unknown or no savings account;unemployed; less than  20;male : married or widowed;none; less than  1 yr;building soc. savings agr. or life insurance;25;none;rent;1;unemployed or unskilled - non-resident;0 to 2;no;no;bad
between 0 and 200 DM;9;delay in paying off in the past;furniture or equipment;1337;unknown or no savings account; less than  1 yr; less than  20;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;34;none;rent;3-Feb;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;bad
no checking account;48;no credits taken or all credits paid back duly;others;7763;unknown or no savings account; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;real estate;42;bank;own;1;manager or self-empl. or highly qualif. employee;0 to 2;no;no;bad
less than 0 DM;15;critical account or other credits elsewhere;others;1264;less than 100 DM;1 between 4 yrs;25 between 35;female : single;none;1 between 4 yrs;car or other;25;none;for free;1;skilled employee or official;0 to 2;no;no;bad
less than 0 DM;15;no credits taken or all credits paid back duly;others;2631;less than 100 DM;1 between 4 yrs;25 between 35;female : non-single or male : single;none; more than  7 yrs;building soc. savings agr. or life insurance;28;none;for free;3-Feb;skilled employee or official;0 to 2;yes;no;bad
less than 0 DM;48;no credits taken or all credits paid back duly;others;6560;less than 100 DM;4 between 7 yrs;20 between 25;male : married or widowed;none;1 between 4 yrs;car or other;24;none;rent;1;skilled employee or official;0 to 2;no;no;bad
no checking account;24;no credits taken or all credits paid back duly;others;3123;unknown or no savings account; less than  1 yr; less than  20;female : non-single or male : single;none; less than  1 yr;car or other;27;none;rent;1;skilled employee or official;0 to 2;no;no;bad
no checking account;36;all credits at this bank paid back duly;repairs;8065;unknown or no savings account;1 between 4 yrs;20 between 25;female : non-single or male : single;none;1 between 4 yrs;real estate;25;none;rent;3-Feb;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;bad
no checking account;24;no credits taken or all credits paid back duly;furniture or equipment;2439;unknown or no savings account; less than  1 yr; less than  20;female : non-single or male : single;none; more than  7 yrs;unknown  or  no property;35;none;rent;1;skilled employee or official;0 to 2;yes;no;bad
less than 0 DM;36;no credits taken or all credits paid back duly;car (used);9034;less than 100 DM; less than  1 yr; less than  20;male : married or widowed;co-applicant; less than  1 yr;real estate;29;none;for free;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;bad
less than 0 DM;60;no credits taken or all credits paid back duly;others;14027;unknown or no savings account;4 between 7 yrs; less than  20;male : married or widowed;none;1 between 4 yrs;real estate;27;none;rent;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;bad
no checking account;36;all credits at this bank paid back duly;car (new);9629;unknown or no savings account;4 between 7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;building soc. savings agr. or life insurance;24;none;rent;3-Feb;skilled employee or official;0 to 2;yes;no;bad
less than 0 DM;12;no credits taken or all credits paid back duly;furniture or equipment;1484;more than 1000 DM;1 between 4 yrs;25 between 35;female : single;none; less than  1 yr;unknown  or  no property;25;none;rent;1;skilled employee or official;0 to 2;yes;no;bad
no checking account;18;no credits taken or all credits paid back duly;car (used);1131;unknown or no savings account;unemployed; less than  20;female : non-single or male : single;none;1 between 4 yrs;building soc. savings agr. or life insurance;33;none;rent;1;skilled employee or official;0 to 2;no;no;bad
less than 0 DM;24;existing credits paid back duly till now;car (used);2064;unknown or no savings account;unemployed;20 between 25;female : non-single or male : single;none;1 between 4 yrs;car or other;34;none;rent;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;bad
less than 0 DM;18;no credits taken or all credits paid back duly;car (new);12976;unknown or no savings account;unemployed;20 between 25;female : non-single or male : single;none; more than  7 yrs;real estate;38;none;own;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;bad
more than 200 DM or salary for at least 1 year;21;existing credits paid back duly till now;retraining;2580;between 100 and 500 DM; less than  1 yr; less than  20;male : married or widowed;none;1 between 4 yrs;unknown  or  no property;41;bank;rent;1;unskilled - resident;3 or more;no;no;bad
more than 200 DM or salary for at least 1 year;27;no credits taken or all credits paid back duly;others;2570;unknown or no savings account;1 between 4 yrs;20 between 25;female : non-single or male : single;none;4 between 7 yrs;unknown  or  no property;21;none;for free;1;skilled employee or official;0 to 2;no;no;bad
less than 0 DM;27;no credits taken or all credits paid back duly;retraining;3915;unknown or no savings account;1 between 4 yrs; less than  20;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;36;none;rent;1;skilled employee or official;3 or more;yes;no;bad
more than 200 DM or salary for at least 1 year;10;no credits taken or all credits paid back duly;others;1309;more than 1000 DM;1 between 4 yrs; less than  20;male : married or widowed;guarantor; more than  7 yrs;car or other;27;none;rent;1;unskilled - resident;0 to 2;no;no;bad
no checking account;24;no credits taken or all credits paid back duly;others;4817;unknown or no savings account;4 between 7 yrs;25 between 35;male : married or widowed;co-applicant;4 between 7 yrs;car or other;31;none;rent;1;skilled employee or official;0 to 2;yes;no;bad
